geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.814408175655096, 144.97023995600807","{""coordinates"": [[[[144.970140636306, -37.814291155457], [144.970207023808, -37.814272479409], [144.970991278022, -37.814041897011], [144.971054923931, -37.81402318405], [144.971253804331, -37.813964708978], [144.971369543776, -37.814221602768], [144.970112019776, -37.8145900655], [144.970049307086, -37.814608439866], [144.969215368681, -37.814852779661], [144.969107313545, -37.814600080695], [144.970140636306, -37.814291155457]]]], ""type"": ""MultiPolygon""}",,,,20108,,,Years 8 - 10,,,Collins Street between Exhibition Street and Russell Street
"-37.79943018199723, 144.96790687721992","{""coordinates"": [[[[144.968275855368, -37.799441487538], [144.96847573461, -37.799462658378], [144.968468075486, -37.799527025402], [144.968459174295, -37.799516350588], [144.967611420374, -37.799426558316], [144.967576479145, -37.799422857937], [144.96734642781, -37.799398490095], [144.967335209947, -37.799404510094], [144.967336414869, -37.799397428705], [144.967345719343, -37.79934296798], [144.967589796807, -37.799368821518], [144.967624124224, -37.799372457228], [144.968241009224, -37.799437797107], [144.968275855368, -37.799441487538]]]], ""type"": ""MultiPolygon""}",,,,20770,,,Years 5 - 7,,,University Street between Drummond Street and Lygon Street
"-37.80926484420164, 144.97254444717527","{""coordinates"": [[[[144.972777943358, -37.809362196093], [144.972354780049, -37.809473567401], [144.972229454604, -37.809219296713], [144.972229116934, -37.809218560945], [144.972193752359, -37.809141640211], [144.972197539586, -37.809148194828], [144.972201774346, -37.809154561865], [144.972206688347, -37.809160616639], [144.97221224429, -37.809166313195], [144.972218400004, -37.809171608293], [144.972225108766, -37.809176461744], [144.972232319654, -37.809180836707], [144.972239977937, -37.809184699976], [144.972248025486, -37.809188022228], [144.972256401218, -37.809190778246], [144.972265041561, -37.809192947112], [144.972273880931, -37.809194512363], [144.972282852237, -37.809195462119], [144.972291887383, -37.80919578917], [144.97230091779, -37.809195491035], [144.972309874917, -37.809194569977], [144.972318690777, -37.809193032985], [144.972327198932, -37.809190677773], [144.972764633226, -37.809062597469], [144.972772768896, -37.809060191552], [144.972780494458, -37.809057044202], [144.972787854962, -37.809053391507], [144.972794798534, -37.809049259209], [144.972801276236, -37.809044676433], [144.972807242414, -37.809039675478], [144.972812655021, -37.809034291588], [144.972817475908, -37.809028562709], [144.9728216711, -37.809022529217], [144.97282521103, -37.809016233634], [144.972828070748, -37.809009720331], [144.9728302301, -37.809003035212], [144.972831582893, -37.808996215778], [144.972823322173, -37.809045413957], [144.972777943358, -37.809362196093]]]], ""type"": ""MultiPolygon""}",,,,20886,,,Years 8 - 10,,,Albert Street between Spring Street and Nicholson Street
"-37.80197609090823, 144.9589597496477","{""coordinates"": [[[[144.958595983846, -37.801808812059], [144.959029112569, -37.80185731688], [144.959070263647, -37.801861924971], [144.959391629218, -37.801897912505], [144.95917602264, -37.802146425508], [144.958692139505, -37.802092766238], [144.958665262028, -37.802089786046], [144.958595983846, -37.801808812059]]]], ""type"": ""MultiPolygon""}",,,,20477,,,Years 5 - 7,,,Pelham Street between Berkeley Street and Barry Street
"-37.81037958684089, 144.97089952637234","{""coordinates"": [[[144.9707000599, -37.8101945546], [144.97068647481, -37.810166464184], [144.970974215401, -37.810083180277], [144.970988752244, -37.810109826253], [144.970865724215, -37.810145934222], [144.971151802655, -37.810741275452], [144.971080828334, -37.810762527918], [144.970991985194, -37.810571838136], [144.970926372937, -37.810591038103], [144.970900886089, -37.810534558299], [144.970901164251, -37.810534477653], [144.970901428444, -37.810534371349], [144.970901679773, -37.810534247099], [144.970901916324, -37.81053410585], [144.970902136297, -37.810533948676], [144.970902338019, -37.810533776773], [144.970902519953, -37.81053359145], [144.970902680716, -37.810533394118], [144.970902819084, -37.810533186277], [144.970902934003, -37.810532969511], [144.9709030246, -37.810532745468], [144.970903090184, -37.810532515853], [144.970903130256, -37.810532282415], [144.970903144512, -37.810532046929], [144.970903132844, -37.810531811189], [144.970903095339, -37.810531576987], [144.970903032283, -37.810531346107], [144.970902944156, -37.810531120306], [144.97090283163, -37.810530901302], [144.970902695559, -37.810530690761], [144.970902536981, -37.810530490287], [144.970902357101, -37.810530301405], [144.970902157289, -37.810530125552], [144.970901939065, -37.810529964067], [144.97090170409, -37.810529818179], [144.970901454153, -37.810529688998], [144.970901191156, -37.810529577507], [144.9709009171, -37.810529484555], [144.970900634071, -37.810529410849], [144.970900344223, -37.810529356951], [144.970900049762, -37.810529323269], [144.970899752928, -37.810529310061], [144.970899455982, -37.810529317428], [144.970899161183, -37.810529345312], [144.970898870774, -37.810529393503], [144.970898590081, -37.810529468536], [144.970849050479, -37.810419685942], [144.970849328641, -37.810419605297], [144.970849592834, -37.810419498992], [144.970849844162, -37.810419374743], [144.970850080713, -37.810419233493], [144.970850300686, -37.81041907632], [144.970850502407, -37.810418904417], [144.970850684341, -37.810418719094], [144.970850845104, -37.810418521762], [144.970850983472, -37.810418313922], [144.970851098391, -37.810418097155], [144.970851188987, -37.810417873112], [144.970851254572, -37.810417643497], [144.970851294644, -37.810417410059], [144.970851308901, -37.810417174574], [144.970851297232, -37.810416938833], [144.970851259727, -37.810416704632], [144.970851196672, -37.810416473752], [144.970851108545, -37.81041624795], [144.970850996019, -37.810416028946], [144.970850859949, -37.810415818406], [144.970850701371, -37.810415617931], [144.970850521491, -37.810415429049], [144.97085032168, -37.810415253196], [144.970850103456, -37.810415091711], [144.970849868482, -37.810414945823], [144.970849618546, -37.810414816642], [144.970849355549, -37.810414705151], [144.970849081493, -37.810414612199], [144.970848798464, -37.810414538493], [144.970848508617, -37.810414484594], [144.970848214156, -37.810414450912], [144.970847917323, -37.810414437704], [144.970847620378, -37.81041444507], [144.970847325579, -37.810414472955], [144.970847035171, -37.810414521145], [144.970846754478, -37.810414596179], [144.970796412955, -37.810303034337], [144.970796691446, -37.810302953776], [144.970796955981, -37.810302847527], [144.970797207643, -37.810302723294], [144.970797444515, -37.810302582024], [144.970797664791, -37.810302424794], [144.970797866792, -37.810302252803], [144.970798048977, -37.810302067362], [144.970798209958, -37.810301869885], [144.970798348508, -37.810301661876], [144.97079846357, -37.810301444923], [144.970798554267, -37.810301220678], [144.970798619908, -37.810300990852], [144.970798659992, -37.810300757196], [144.970798674214, -37.810300521492], [144.970798662466, -37.810300285536], [144.970798624836, -37.810300051128], [144.970798561612, -37.810299820054], [144.970798473275, -37.810299594076], [144.9707983605, -37.810299374916], [144.970798224146, -37.810299164246], [144.970798065252, -37.810298963672], [144.97079788503, -37.810298774722], [144.970797684853, -37.810298598837], [144.970797466248, -37.810298437358], [144.970797230881, -37.810298291515], [144.970796980547, -37.810298162422], [144.970796717154, -37.810298051061], [144.97079644271, -37.810297958282], [144.970796159307, -37.810297884792], [144.970795869105, -37.810297831152], [144.970795574317, -37.81029779777], [144.970795277191, -37.8102977849], [144.970794979991, -37.810297792642], [144.970794684984, -37.810297820935], [144.970794394417, -37.810297869564], [144.970794110507, -37.810297938159], [144.970793835417, -37.810298026197], [144.970793571245, -37.810298133005], [144.970793320004, -37.810298257771], [144.970793083611, -37.810298399543], [144.970792863867, -37.81029855724], [144.970792662447, -37.81029872966], [144.970792480887, -37.810298915488], [144.97079232057, -37.810299113308], [144.97079218272, -37.810299321613], [144.970792068387, -37.810299538812], [144.970791978443, -37.810299763252], [144.970791913573, -37.810299993221], [144.970791874272, -37.810300226966], [144.970791860839, -37.810300462704], [144.970791873377, -37.810300698639], [144.970791911791, -37.810300932972], [144.970791975787, -37.810301163917], [144.970792056351, -37.810301392113], [144.970706451708, -37.810325480569], [144.970687467878, -37.810283693841], [144.970687745812, -37.810283612715], [144.970688009686, -37.81028350592], [144.970688260642, -37.810283381204], [144.970688496772, -37.810283239514], [144.970688716278, -37.810283081931], [144.970688917489, -37.810282909653], [144.970689098875, -37.810282723991], [144.970689259053, -37.810282526358], [144.970689396807, -37.810282318258], [144.970689511086, -37.810282101276], [144.970689601022, -37.810281877062], [144.97068966593, -37.810281647323], [144.970689705315, -37.810281413807], [144.970689718879, -37.810281178292], [144.970689706518, -37.810280942569], [144.970689668326, -37.810280708434], [144.970689604594, -37.810280477667], [144.970689515806, -37.810280252025], [144.970689402639, -37.810280033226], [144.970689265953, -37.810279822935], [144.97068910679, -37.810279622751], [144.97068892636, -37.810279434199], [144.970688726036, -37.810279258713], [144.970688507344, -37.81027909763], [144.970688271947, -37.810278952174], [144.970688021637, -37.810278823453], [144.970687758319, -37.810278712448], [144.970687483997, -37.810278620001], [144.970687200759, -37.810278546818], [144.97068691076, -37.810278493455], [144.970686616208, -37.810278460317], [144.970686319343, -37.810278447659], [144.970686022427, -37.810278455574], [144.970685727717, -37.810278484005], [144.970685437458, -37.810278532733], [144.970685157009, -37.810278608323], [144.970678995835, -37.810265046663], [144.970679273767, -37.810264965574], [144.970679537647, -37.810264858819], [144.970679788614, -37.810264734141], [144.970680024757, -37.81026459249], [144.970680244281, -37.810264434944], [144.970680445515, -37.810264262701], [144.970680626926, -37.810264077073], [144.970680787134, -37.810263879472], [144.97068092492, -37.810263671402], [144.970681039236, -37.810263454447], [144.97068112921, -37.810263230258], [144.97068119416, -37.810263000541], [144.970681233589, -37.810262767044], [144.970681247199, -37.810262531545], [144.970681234885, -37.810262295836], [144.970681196741, -37.81026206171], [144.970681133058, -37.810261830949], [144.97068104432, -37.81026160531], [144.970680931202, -37.810261386511], [144.970680794567, -37.810261176215], [144.970680635452, -37.810260976024], [144.97068045507, -37.810260787461], [144.970680254793, -37.810260611961], [144.970680036145, -37.81026045086], [144.97067980079, -37.810260305384], [144.97067955052, -37.81026017664], [144.97067928724, -37.810260065609], [144.970679012952, -37.810259973134], [144.970678729745, -37.81025989992], [144.970678439774, -37.810259846524], [144.970678145245, -37.810259813352], [144.970677848401, -37.810259800657], [144.9706775515, -37.810259808536], [144.970677256803, -37.810259836927], [144.970676966551, -37.810259885617], [144.970676686102, -37.810259961165], [144.970653216624, -37.81020830313], [144.9707000599, -37.8101945546]]], ""type"": ""Polygon""}",,,,20226,,,Years 8 - 10,,,Punch Lane from Little Bourke Street
"-37.77821440135594, 144.96096592604934","{""coordinates"": [[[[144.961196525769, -37.778301195155], [144.960533454347, -37.77821780437], [144.960559389079, -37.778083833377], [144.960891296435, -37.778124309534], [144.961231037213, -37.778214747513], [144.961370957469, -37.778253931306], [144.961507396963, -37.778300206499], [144.961639785887, -37.778353379838], [144.961196525769, -37.778301195155]]]], ""type"": ""MultiPolygon""}",,,,22395,,,Years 5 - 7,,,Park Street between Royal Parade and Bowen Crescent
"-37.810549270048256, 144.9489014260185","{""coordinates"": [[[[144.949682959347, -37.810402369021], [144.949654008847, -37.810415391551], [144.949503522822, -37.810472600082], [144.949491600933, -37.810477348935], [144.949407314472, -37.810509503964], [144.949377534031, -37.810520907882], [144.948042627427, -37.811025434714], [144.947894063944, -37.810779730552], [144.949000136757, -37.810361062307], [144.949177776682, -37.810293821461], [144.949336374845, -37.810233787953], [144.949369482967, -37.810220959563], [144.949754018563, -37.81007196418], [144.949910991879, -37.810314816086], [144.949682959347, -37.810402369021]]]], ""type"": ""MultiPolygon""}",,,,21483,,,Years 5 - 7,,,Dudley Street between Adderley Street and Spencer Street
"-37.791837207890964, 144.92550673936026","{""coordinates"": [[[[144.92572861154, -37.7919217475], [144.92597172067, -37.792176144441], [144.925721819662, -37.79221513828], [144.925523727877, -37.792003195962], [144.925503098167, -37.791981125106], [144.925069815002, -37.791539297674], [144.925258097002, -37.791429379625], [144.925683164124, -37.791874189638], [144.92572861154, -37.7919217475]]]], ""type"": ""MultiPolygon""}",,,,21768,,,Years 8 - 10,,,Epsom Road between Bayswater Road and Westbourne Road
"-37.796286296981265, 144.9661874531265","{""coordinates"": [[[[144.966435171545, -37.795892555653], [144.966419392889, -37.795982907527], [144.966358617098, -37.79633314201], [144.966354734388, -37.796355663906], [144.966263481909, -37.796885034594], [144.965924396573, -37.796848532865], [144.966017433031, -37.796324926575], [144.966023435282, -37.796292830228], [144.966108176501, -37.795799157378], [144.966119020191, -37.795744570109], [144.966157939747, -37.795535365838], [144.966435171545, -37.795892555653]]]], ""type"": ""MultiPolygon""}",,,,20518,,,Years 5 - 7,,,Cardigan Street between Elgin Street and Keppel Street
"-37.81336680974986, 144.95072621576907","{""coordinates"": [[[[144.950353549803, -37.81333025733], [144.95122006035, -37.81308476117], [144.951332579478, -37.813344011382], [144.950331120038, -37.813626202686], [144.950303400756, -37.813634012769], [144.950054266405, -37.81341504667], [144.950353549803, -37.81333025733]]]], ""type"": ""MultiPolygon""}",,,,21505,,,Years 5 - 7,,,La Trobe Street between Adderley Street and Spencer Street
